transaction_id,card_id,timestamp,amount,currency,channel,mcc,city,latitude,longitude
T1001,CARD1001,2025-06-01 09:15:00,42.50,USD,POS,5411,Harare,-17.8292,31.0522
T1002,CARD1001,2025-06-02 08:50:00,38.00,USD,POS,5411,Harare,-17.8292,31.0522
T1003,CARD1001,2025-06-03 19:20:00,55.00,USD,POS,5812,Harare,-17.8292,31.0522
T1004,CARD1002,2025-06-01 10:00:00,60.00,USD,POS,5411,Bulawayo,-20.1500,28.5833
T1005,CARD1002,2025-06-05 03:00:00,1.20,USD,Internet Banking,5999,Bulawayo,-20.1500,28.5833
T1006,CARD1002,2025-06-05 03:00:30,1.50,USD,Internet Banking,5999,Bulawayo,-20.1500,28.5833
T1007,CARD1002,2025-06-05 03:01:00,0.90,USD,Internet Banking,5999,Bulawayo,-20.1500,28.5833
T1008,CARD1003,2025-06-06 12:00:00,55.00,USD,POS,5812,Harare,-17.8292,31.0522
T1009,CARD1003,2025-06-06 12:22:00,60.00,USD,POS,5812,Bulawayo,-20.1500,28.5833
T1010,CARD1004,2025-06-07 14:30:00,900.00,USD,Internet Banking,5999,Harare,-17.8292,31.0522
